,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value
Cirneco dell’Etna,183,41.910000000000004,49.53,7.71107029,11.793401620000001,12.0,14.0,0.2,0.2,0.6,0.6,0.6
Clumber Spaniel,143,43.18,50.8,24.947580350000003,38.55535145,10.0,12.0,0.4,0.8,0.6,0.6,0.4
Cocker Spaniel,30,34.29,39.37,9.071847400000001,13.6077711,10.0,14.0,0.8,0.4,0.6,1.0,1.0
Collie,38,55.88,66.04,22.6796185,34.01942775,12.0,14.0,0.6,0.6,0.6,0.8,0.8
Coton de Tulear,81,22.86,27.94,3.62873896,6.80388555,15.0,19.0,0.8,0.4,0.6,0.8,1.0
Croatian Sheepdog,,40.64,50.8,13.15417873,19.958064280000002,13.0,14.0,0.2,0.4,1.0,1.0,0.4
Curly-Coated Retriever,162,58.42,68.58,27.2155422,43.09127515,10.0,12.0,0.2,0.4,0.8,0.4,0.4
Czechoslovakian Vlcak,,59.69,64.77,19.958064280000002,25.85476509,10.0,15.0,0.4,1.0,1.0,0.2,0.2
Dachshund,12,12.7,22.86,4.9895160700000005,14.51495584,12.0,16.0,0.4,0.4,0.6,0.6,0.6
Dalmatian,56,48.26,60.96,20.41165665,31.751465900000003,11.0,13.0,0.4,1.0,0.8,0.6,0.6
Dandie Dinmont Terrier,176,20.32,27.94,8.164662660000001,10.886216880000001,12.0,15.0,0.8,0.2,0.6,0.4,0.4
Danish-Swedish Farmdog,,31.75,36.83,6.80388555,9.071847400000001,11.0,13.0,0.2,0.4,0.8,,
Deutscher Wachtelhund,,45.72,53.34,18.143694800000002,24.947580350000003,12.0,14.0,0.4,,0.6,,
Doberman Pinscher,17,60.96,71.12,27.2155422,45.359237,10.0,12.0,0.2,0.8,1.0,1.0,0.6
Dogo Argentino,of,60.96,67.31,39.916128560000004,45.359237,9.0,15.0,0.2,0.2,1.0,,
Dogue de Bordeaux,67,58.42,66.04,44.905644630000005,49.895160700000005,5.0,8.0,0.2,0.8,0.6,0.6,0.6
Drentsche Patrijshond,,53.34,63.5,21.772433760000002,33.11224301,11.0,14.0,0.4,0.8,0.8,0.6,0.4
Drever,,30.48,38.1,15.875732950000002,18.143694800000002,15.0,15.0,0.2,0.4,0.6,0.2,0.6
Dutch Shepherd,,54.61,62.230000000000004,19.05087954,34.01942775,11.0,14.0,0.4,0.6,1.0,0.6,0.6
English Cocker Spaniel,52,38.1,43.18,11.793401620000001,15.42214058,12.0,14.0,0.6,0.4,0.6,1.0,0.8
English Foxhound,188,60.96,60.96,27.2155422,34.01942775,10.0,13.0,0.2,0.8,0.8,0.6,0.8
English Setter,94,58.42,68.58,20.41165665,36.287389600000004,12.0,12.0,0.6,0.8,0.8,0.8,0.8
English Springer Spaniel,27,48.26,50.8,18.143694800000002,22.6796185,12.0,14.0,0.4,0.4,0.6,1.0,0.8
English Toy Spaniel,135,22.86,25.4,3.62873896,6.35029318,10.0,12.0,0.6,0.6,0.6,0.4,0.6
Entlebucher Mountain Dog,157,40.64,53.34,18.143694800000002,29.48350405,11.0,13.0,0.2,0.2,1.0,0.4,0.4
Estrela Mountain Dog,,62.230000000000004,73.66,34.926612490000004,59.874192840000006,10.0,14.0,0.4,0.6,0.4,,
Eurasier,,48.26,60.96,18.143694800000002,31.751465900000003,12.0,16.0,0.6,0.6,0.6,0.6,0.4
Field Spaniel,149,43.18,45.72,15.875732950000002,22.6796185,12.0,13.0,0.4,0.8,0.6,0.6,0.4
Finnish Lapphund,161,40.64,53.34,14.968548210000002,24.04039561,12.0,15.0,0.4,0.6,0.6,1.0,0.4
Finnish Spitz,184,39.37,50.8,9.071847400000001,14.968548210000002,13.0,15.0,0.4,0.6,1.0,0.6,0.8
Flat-Coated Retriever,91,55.88,62.230000000000004,27.2155422,31.751465900000003,8.0,10.0,0.4,0.8,1.0,1.0,0.8
French Bulldog,4,27.94,33.02,12.70058636,12.70058636,10.0,12.0,0.2,0.8,0.4,0.6,0.6
French Spaniel,,54.61,60.96,22.6796185,27.2155422,10.0,12.0,,,,,
German Longhaired Pointer,,55.88,71.12,24.947580350000003,36.287389600000004,12.0,14.0,0.2,,0.8,1.0,0.8
German Pinscher,134,43.18,50.8,11.33980925,20.41165665,12.0,14.0,0.2,0.4,1.0,0.6,0.6
German Shepherd Dog,2,55.88,66.04,22.6796185,40.8233133,7.0,10.0,0.4,0.8,0.6,1.0,0.6
German Shorthaired Pointer,9,53.34,63.5,20.41165665,31.751465900000003,10.0,12.0,0.4,0.8,1.0,1.0,0.8
German Spitz,,30.48,38.1,10.886216880000001,11.793401620000001,13.0,15.0,0.6,0.6,0.6,1.0,0.4
German Wirehaired Pointer,63,55.88,66.04,22.6796185,31.751465900000003,14.0,16.0,0.4,0.8,1.0,1.0,0.4
Giant Schnauzer,78,59.69,69.85,24.947580350000003,38.55535145,12.0,15.0,0.8,,1.0,0.8,0.6
Glen of Imaal Terrier,174,31.75,35.56,14.51495584,18.143694800000002,10.0,15.0,0.6,0.4,0.6,0.4,0.6
Golden Retriever,3,54.61,60.96,24.947580350000003,34.01942775,10.0,12.0,0.4,0.6,1.0,1.0,0.8
Gordon Setter,115,58.42,68.58,20.41165665,36.287389600000004,12.0,13.0,0.4,0.6,1.0,0.4,0.4
Grand Basset Griffon Vendéen,177,39.37,45.72,18.143694800000002,20.41165665,13.0,15.0,0.4,0.6,1.0,0.4,0.8
Great Dane,16,71.12,81.28,49.895160700000005,79.37866475,7.0,10.0,0.2,0.6,0.8,0.6,0.6
Great Pyrenees,66,63.5,81.28,38.55535145,45.359237,10.0,12.0,0.4,0.6,1.0,0.4,0.4
Greater Swiss Mountain Dog,74,59.69,72.39,38.55535145,63.502931800000006,8.0,11.0,0.4,0.6,0.8,0.6,0.6
Greyhound,145,68.58,76.2,27.2155422,31.751465900000003,10.0,13.0,0.2,0.4,0.8,0.4,0.8
Hamiltonstovare,,48.26,60.96,18.143694800000002,34.01942775,14.0,17.0,0.2,0.2,0.8,0.6,0.8
Hanoverian Scenthound,,48.26,53.34,35.83379723,44.905644630000005,10.0,14.0,0.2,0.2,0.6,0.4,0.4
Harrier,189,48.26,53.34,20.41165665,27.2155422,12.0,15.0,0.4,0.4,1.0,0.8,0.8
Havanese,24,21.59,29.21,3.17514659,5.8967008100000005,14.0,16.0,0.6,0.4,0.6,0.8,1.0
Hokkaido,,45.72,50.8,19.958064280000002,29.937096420000003,12.0,15.0,0.4,0.6,0.8,,
Hovawart,,58.42,71.12,29.48350405,40.8233133,10.0,14.0,0.2,0.6,0.6,0.2,0.4
Ibizan Hound,152,57.15,69.85,20.41165665,22.6796185,11.0,14.0,0.2,0.4,1.0,0.4,0.4
Icelandic Sheepdog,155,41.910000000000004,45.72,11.33980925,13.6077711,12.0,14.0,0.4,0.6,0.8,1.0,0.8
Irish Red and White Setter,146,57.15,66.04,15.875732950000002,27.2155422,11.0,15.0,0.4,,1.0,0.8,0.8
Irish Setter,77,63.5,68.58,27.2155422,31.751465900000003,12.0,15.0,0.6,0.6,1.0,0.6,1.0
Irish Terrier,116,45.72,45.72,11.33980925,12.24699399,13.0,15.0,0.2,,0.6,0.6,0.6
Irish Water Spaniel,159,53.34,60.96,20.41165665,30.84428116,12.0,13.0,0.4,0.6,1.0,0.8,0.4
Irish Wolfhound,76,76.2,81.28,47.62719885,54.4310844,6.0,8.0,0.4,0.6,0.6,0.4,0.6
Italian Greyhound,73,33.02,38.1,3.17514659,6.35029318,14.0,15.0,0.2,0.6,0.6,0.4,0.2
Jagdterrier,,33.02,40.64,7.71107029,9.979032140000001,10.0,12.0,,,,,
Japanese Chin,104,20.32,27.94,3.17514659,4.9895160700000005,10.0,12.0,0.4,0.6,0.6,0.4,0.4
Japanese Spitz,,30.48,38.1,4.535923700000001,11.33980925,12.0,14.0,0.4,0.4,0.6,0.8,0.8
Jindo,,45.72,55.88,13.6077711,22.6796185,14.0,14.0,0.4,0.6,0.8,0.4,0.4
Kai Ken,,39.37,49.53,9.071847400000001,18.143694800000002,12.0,15.0,0.2,0.6,0.8,0.4,0.4
Karelian Bear Dog,,48.26,59.69,19.958064280000002,22.22602613,11.0,13.0,0.2,0.6,0.4,,
Keeshond,95,43.18,45.72,15.875732950000002,20.41165665,12.0,15.0,0.6,0.6,0.6,0.8,0.8
Kerry Blue Terrier,129,44.45,49.53,14.968548210000002,18.143694800000002,12.0,15.0,0.6,,0.6,0.2,0.6
Kishu Ken,,43.18,55.88,13.6077711,27.2155422,11.0,13.0,0.2,0.6,0.8,0.4,0.4
Komondor,173,64.77,69.85,36.287389600000004,45.359237,10.0,12.0,1.0,0.6,0.6,0.4,0.4
Kromfohrlander,,38.1,45.72,9.071847400000001,15.875732950000002,13.0,15.0,0.6,0.8,0.6,0.6,0.4
Kuvasz,163,66.04,76.2,31.751465900000003,52.163122550000004,10.0,12.0,0.4,0.8,0.6,0.4,0.4
Labrador Retriever,1,54.61,62.230000000000004,24.947580350000003,36.287389600000004,10.0,12.0,0.4,0.8,1.0,1.0,1.0
