,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value
Slovensky Kopov,,40.64,50.8,14.968548210000002,19.958064280000002,12.0,13.0,0.2,0.6,0.6,,
Small Munsterlander Pointer,,52.07,53.34,18.143694800000002,27.2155422,12.0,14.0,0.2,0.6,1.0,0.6,0.8
Smooth Fox Terrier,123,38.1,38.1,6.80388555,8.164662660000001,12.0,15.0,0.4,0.4,0.8,0.6,0.8
Soft Coated Wheaten Terrier,53,43.18,48.26,13.6077711,18.143694800000002,12.0,14.0,0.6,0.2,0.8,0.4,0.6
Spanish Mastiff,,71.12,88.9,63.502931800000006,90.718474,10.0,12.0,,0.6,0.4,,
Spanish Water Dog,153,40.005,50.165,14.06136347,22.22602613,12.0,14.0,1.0,0.2,0.8,1.0,0.4
Spinone Italiano,109,55.88,68.58,,,10.0,12.0,0.4,,0.8,0.6,0.6
Stabyhoun,,48.26,53.34,18.143694800000002,27.2155422,13.0,15.0,0.2,0.6,0.8,0.8,0.6
Staffordshire Bull Terrier,80,35.56,40.64,10.886216880000001,17.23651006,12.0,14.0,0.4,0.4,0.8,0.2,0.8
Standard Schnauzer,89,44.45,49.53,13.6077711,22.6796185,13.0,16.0,0.6,0.2,0.6,0.4,0.8
Sussex Spaniel,180,33.02,38.1,15.875732950000002,20.41165665,13.0,15.0,0.6,0.6,0.6,0.4,0.4
Swedish Lapphund,,40.64,50.8,13.6077711,20.41165665,12.0,14.0,0.4,0.6,0.6,0.2,0.6
Swedish Vallhund,169,29.21,34.925,9.071847400000001,15.875732950000002,12.0,15.0,0.2,0.6,1.0,1.0,0.8
Taiwan Dog,,43.18,50.8,11.793401620000001,18.143694800000002,9.0,13.0,0.4,0.6,1.0,0.8,0.4
Teddy Roosevelt Terrier,,20.32,38.1,3.62873896,11.33980925,14.0,16.0,0.4,0.6,0.8,1.0,0.8
Thai Ridgeback,,50.8,60.96,15.875732950000002,34.01942775,12.0,13.0,0.2,0.6,0.8,0.4,0.4
Tibetan Mastiff,131,60.96,66.04,31.751465900000003,68.0388555,10.0,12.0,0.6,0.6,0.6,0.4,0.6
Tibetan Spaniel,119,25.4,25.4,4.082331330000001,6.80388555,12.0,15.0,0.4,0.6,0.4,0.6,0.6
Tibetan Terrier,96,35.56,43.18,8.164662660000001,13.6077711,15.0,16.0,0.6,0.6,0.8,0.4,0.4
Tornjak,,58.42,71.12,28.12272694,49.895160700000005,12.0,14.0,,,,0.8,0.6
Tosa,,54.61,59.69,45.359237,90.718474,10.0,12.0,0.2,0.4,0.4,0.6,0.4
Toy Fox Terrier,111,21.59,29.21,1.587573295,3.17514659,13.0,15.0,0.4,0.4,0.8,1.0,0.8
Transylvanian Hound,,55.88,66.04,24.947580350000003,24.947580350000003,10.0,14.0,0.4,,1.0,0.2,
Treeing Tennessee Brindle,,40.64,60.96,13.6077711,22.6796185,10.0,12.0,0.4,0.4,0.6,,
Treeing Walker Coonhound,137,50.8,68.58,22.6796185,31.751465900000003,12.0,13.0,0.2,0.6,0.6,0.4,0.8
Vizsla,31,53.34,60.96,19.958064280000002,27.2155422,12.0,14.0,0.4,0.6,0.8,1.0,0.8
Weimaraner,36,58.42,68.58,24.947580350000003,40.8233133,10.0,13.0,0.4,0.6,1.0,1.0,0.8
Welsh Springer Spaniel,128,43.18,48.26,15.875732950000002,24.947580350000003,12.0,15.0,0.4,,0.8,0.8,0.8
Welsh Terrier,107,38.1,38.1,9.071847400000001,9.071847400000001,12.0,15.0,0.6,0.4,0.8,0.6,1.0
West Highland White Terrier,42,25.4,27.94,6.80388555,9.071847400000001,13.0,15.0,0.8,0.6,0.6,0.6,0.8
Wetterhoun,,12.7,58.42,22.6796185,34.01942775,13.0,13.0,0.2,0.4,0.6,0.2,0.4
Whippet,61,45.72,55.88,11.33980925,18.143694800000002,12.0,15.0,0.2,0.4,0.6,0.4,0.4
Wire Fox Terrier,101,38.1,38.1,6.80388555,8.164662660000001,12.0,15.0,0.4,0.2,0.6,0.6,0.6
Wirehaired Pointing Griffon,65,50.8,60.96,15.875732950000002,31.751465900000003,12.0,15.0,0.4,0.6,1.0,0.6,0.6
Wirehaired Vizsla,167,54.61,63.5,20.41165665,29.48350405,12.0,14.0,0.2,0.6,0.8,0.6,0.6
Working Kelpie,,48.26,63.5,12.70058636,27.2155422,12.0,15.0,0.2,0.6,0.8,0.4,0.6
Xoloitzcuintli,140,25.4,58.42,4.535923700000001,24.947580350000003,13.0,18.0,0.2,0.2,0.8,0.6,0.6
Yakutian Laika,,53.34,58.42,18.143694800000002,24.947580350000003,10.0,12.0,0.4,0.6,0.8,0.2,0.4
Yorkshire Terrier,10,17.78,20.32,3.17514659,3.17514659,11.0,15.0,1.0,0.2,0.6,0.2,0.8
